City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Port Elizabeth,ZA,-33.918,25.5701,62.89,86,20,11.5,few clouds,2022-04-17 00:25:50
60,Emerald,AU,-23.5333,148.1667,77.34,44,0,10.36,clear sky,2022-04-17 00:27:52
61,Goderich,CA,43.7501,-81.7165,33.91,74,69,9.22,broken clouds,2022-04-17 00:29:39
62,Atuona,PF,-9.8,-139.0333,79.56,78,30,16.55,scattered clouds,2022-04-17 00:29:39
63,Nanortalik,GL,60.1432,-45.2371,29.19,85,24,10.2,few clouds,2022-04-17 00:29:39
64,Saldanha,ZA,-33.0117,17.9442,59.05,64,0,11.43,clear sky,2022-04-17 00:29:40
65,Ostrovnoy,RU,68.0531,39.5131,32.23,97,100,19.91,light snow,2022-04-17 00:29:40
66,Goure,NE,13.9835,10.2704,81.16,56,58,11.77,broken clouds,2022-04-17 00:29:40
67,Sobolevo,RU,54.4299,31.8996,30.6,86,94,12.24,overcast clouds,2022-04-17 00:29:41
68,Bandarbeyla,SO,9.4942,50.8122,80.71,80,49,6.31,scattered clouds,2022-04-17 00:29:41
69,Katsuura,JP,35.1333,140.3,58.15,58,98,11.48,overcast clouds,2022-04-17 00:29:42
70,Colombia,CU,20.9881,-77.4297,71.44,87,99,2.93,overcast clouds,2022-04-17 00:29:42
71,Maningrida,AU,-12.0667,134.2667,82.47,70,70,12.55,broken clouds,2022-04-17 00:29:42
72,Carnarvon,AU,-24.8667,113.6333,73.47,78,100,14.97,overcast clouds,2022-04-17 00:29:43
73,Tupsan,PH,9.1992,124.7769,81.0,79,63,4.07,broken clouds,2022-04-17 00:29:43
74,Mataura,NZ,-46.1927,168.8643,53.47,54,70,5.01,broken clouds,2022-04-17 00:29:44
75,Balykshi,KZ,47.0667,51.8667,41.0,100,75,2.24,fog,2022-04-17 00:29:44
76,Iqaluit,CA,63.7506,-68.5145,10.13,78,75,4.61,broken clouds,2022-04-17 00:29:44
77,Qeshm,IR,26.9581,56.2719,78.69,73,36,4.88,scattered clouds,2022-04-17 00:29:45
78,Qaanaaq,GL,77.484,-69.3632,-16.87,74,16,6.31,few clouds,2022-04-17 00:29:45
79,Touros,BR,-5.1989,-35.4608,79.21,84,87,6.26,overcast clouds,2022-04-17 00:29:45
80,Birjand,IR,32.8663,59.2211,63.07,34,75,4.61,broken clouds,2022-04-17 00:29:46
81,Bata,GQ,1.8639,9.7658,78.66,86,100,4.52,overcast clouds,2022-04-17 00:29:46
82,Ancud,CL,-41.8697,-73.8203,56.23,87,5,3.2,clear sky,2022-04-17 00:29:46
83,Kapaa,US,22.0752,-159.319,80.58,95,75,21.85,heavy intensity rain,2022-04-17 00:29:47
84,New Waterford,US,40.8451,-80.6145,48.52,59,85,9.35,overcast clouds,2022-04-17 00:29:47
85,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,50,10.83,scattered clouds,2022-04-17 00:29:47
86,Svetlyy,RU,54.675,20.1347,37.45,89,65,6.55,broken clouds,2022-04-17 00:29:48
87,Ahipara,NZ,-35.1667,173.1667,68.4,69,100,15.48,overcast clouds,2022-04-17 00:29:48
88,Makakilo City,US,21.3469,-158.0858,82.72,61,75,18.41,broken clouds,2022-04-17 00:24:59
89,Kodiak,US,57.79,-152.4072,40.51,75,100,16.11,overcast clouds,2022-04-17 00:28:14
90,Barra Patuca,HN,15.8,-84.2833,79.12,75,64,10.47,broken clouds,2022-04-17 00:29:49
91,Port Lincoln,AU,-34.7333,135.8667,66.11,80,100,10.09,overcast clouds,2022-04-17 00:29:49
92,Fort Nelson,CA,58.8053,-122.7002,18.99,79,100,14.97,light snow,2022-04-17 00:26:58
93,Narsaq,GL,60.9167,-46.05,35.82,87,6,3.38,clear sky,2022-04-17 00:28:10
94,Hobart,AU,-42.8794,147.3294,69.66,69,0,10.36,clear sky,2022-04-17 00:27:41
95,Gat,IL,31.61,34.7642,67.41,36,44,4.41,scattered clouds,2022-04-17 00:29:50
96,Chanika,TZ,-5.4167,38.0167,66.34,98,98,2.75,overcast clouds,2022-04-17 00:29:50
97,Minsk,BY,53.9,27.5667,35.35,73,94,11.27,overcast clouds,2022-04-17 00:26:41
98,Meulaboh,ID,4.1363,96.1285,78.1,87,49,2.84,scattered clouds,2022-04-17 00:29:51
99,Pangnirtung,CA,66.1451,-65.7125,-0.18,94,94,5.59,overcast clouds,2022-04-17 00:29:51
100,Lasa,IT,46.6166,10.7002,43.68,80,33,7.05,scattered clouds,2022-04-17 00:29:51
101,Sitka,US,57.0531,-135.33,46.29,53,0,6.91,clear sky,2022-04-17 00:29:52
102,Jipijapa,EC,-1.3333,-80.5833,74.7,91,85,4.18,overcast clouds,2022-04-17 00:29:52
103,Baykit,RU,61.67,96.37,38.55,98,100,4.45,overcast clouds,2022-04-17 00:29:52
104,Tura,IN,25.5198,90.2201,70.25,93,40,7.11,scattered clouds,2022-04-17 00:29:53
105,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,21.85,few clouds,2022-04-17 00:28:30
106,Upernavik,GL,72.7868,-56.1549,-13.04,99,35,9.24,scattered clouds,2022-04-17 00:29:53
107,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,10.76,light rain,2022-04-17 00:29:54
108,Sistranda,NO,63.7256,8.834,37.36,85,99,5.91,overcast clouds,2022-04-17 00:29:54
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.45,73,57,11.56,broken clouds,2022-04-17 00:27:15
110,Namikupa,TZ,-10.8333,39.6,70.07,98,18,3.96,light rain,2022-04-17 00:29:54
111,Salalah,OM,17.0151,54.0924,80.69,89,20,3.44,few clouds,2022-04-17 00:29:55
112,Pemangkat,ID,1.1667,108.9667,78.93,84,93,5.84,overcast clouds,2022-04-17 00:29:55
113,Puerto Maldonado,PE,-12.6,-69.1833,75.6,88,75,0.0,broken clouds,2022-04-17 00:29:55
114,Tuxpan,MX,19.55,-103.4,78.57,32,94,7.05,overcast clouds,2022-04-17 00:29:56
115,Ambilobe,MG,-13.2,49.05,69.93,90,2,3.44,clear sky,2022-04-17 00:29:56
116,Namatanai,PG,-3.6667,152.4333,83.48,73,99,5.55,light rain,2022-04-17 00:28:08
117,Severo-Kurilsk,RU,50.6789,156.125,32.09,76,100,8.14,overcast clouds,2022-04-17 00:29:57
118,Bend,US,44.0582,-121.3153,42.66,52,87,7.0,overcast clouds,2022-04-17 00:29:57
119,Dzaoudzi,YT,-12.7887,45.2699,82.29,83,0,11.5,clear sky,2022-04-17 00:29:57
120,Lang Son,VN,21.8333,106.7333,57.04,92,100,5.91,overcast clouds,2022-04-17 00:29:58
121,Cabo San Lucas,MX,22.8909,-109.9124,86.61,44,100,10.18,overcast clouds,2022-04-17 00:29:58
122,Bad Freienwalde,DE,52.7873,14.0304,41.56,69,67,1.99,broken clouds,2022-04-17 00:29:58
123,Jamestown,US,42.097,-79.2353,40.51,52,100,8.05,overcast clouds,2022-04-17 00:29:59
124,Chaman,PK,30.9236,66.4512,71.78,18,98,2.21,overcast clouds,2022-04-17 00:29:59
125,Olga,RU,43.7444,135.2892,48.34,39,99,8.39,overcast clouds,2022-04-17 00:29:59
126,Riberalta,BO,-10.9833,-66.1,73.42,88,62,2.24,broken clouds,2022-04-17 00:30:00
127,Nikolo-Pavlovskoye,RU,57.7831,60.0578,28.08,81,51,8.08,broken clouds,2022-04-17 00:30:00
128,Corrente,BR,-3.7367,-43.3394,72.99,98,100,2.55,overcast clouds,2022-04-17 00:30:01
129,Cairns,AU,-16.9167,145.7667,84.07,77,75,9.22,broken clouds,2022-04-17 00:30:02
130,Wuxue,CN,29.8506,115.5525,58.93,64,100,1.12,overcast clouds,2022-04-17 00:30:03
131,Vestmannaeyjar,IS,63.4427,-20.2734,46.31,91,96,13.87,overcast clouds,2022-04-17 00:30:03
132,Faanui,PF,-16.4833,-151.75,81.37,72,7,12.37,clear sky,2022-04-17 00:28:04
133,Saskylakh,RU,71.9167,114.0833,17.37,93,100,18.43,overcast clouds,2022-04-17 00:30:04
134,Daru,PG,-9.0763,143.2092,85.98,69,77,5.59,broken clouds,2022-04-17 00:30:05
135,Svetlogorsk,BY,52.6333,29.7333,34.27,93,100,13.38,overcast clouds,2022-04-17 00:30:06
136,Puerto Ayora,EC,-0.7393,-90.3518,75.52,90,90,5.64,overcast clouds,2022-04-17 00:30:07
137,Savalou,BJ,7.9281,1.9756,78.28,76,73,2.55,broken clouds,2022-04-17 00:30:08
138,Kununurra,AU,-15.7667,128.7333,85.98,70,94,3.44,overcast clouds,2022-04-17 00:30:09
139,Doha,QA,25.2867,51.5333,80.58,45,0,11.5,clear sky,2022-04-17 00:26:24
140,Kamyshin,RU,50.0983,45.416,52.09,74,100,5.19,overcast clouds,2022-04-17 00:30:10
141,Namibe,AO,-15.1961,12.1522,72.3,75,63,7.2,broken clouds,2022-04-17 00:30:11
142,Constitucion,CL,-35.3333,-72.4167,53.06,84,3,7.23,clear sky,2022-04-17 00:25:56
143,Gizo,SB,-8.103,156.8419,82.18,73,100,5.28,light rain,2022-04-17 00:30:12
144,Iracoubo,GF,5.4802,-53.2011,78.01,87,100,10.4,overcast clouds,2022-04-17 00:30:12
145,Moose Factory,CA,51.2585,-80.6094,32.0,86,100,9.22,overcast clouds,2022-04-17 00:30:13
146,Dukat,RU,62.55,155.55,18.64,86,100,7.92,overcast clouds,2022-04-17 00:30:13
147,Sonoita,MX,31.85,-112.8333,82.89,12,0,12.73,clear sky,2022-04-17 00:30:13
148,Kyaukse,MM,21.6,96.1333,84.2,65,40,4.61,scattered clouds,2022-04-17 00:26:11
149,Vostok,RU,46.4856,135.8833,37.94,49,58,15.7,broken clouds,2022-04-17 00:30:03
150,Sambava,MG,-14.2667,50.1667,72.99,87,5,8.7,clear sky,2022-04-17 00:30:14
151,Chuncheng,CN,22.1731,111.7886,66.6,84,100,4.65,overcast clouds,2022-04-17 00:30:15
152,Serenje,ZM,-13.2325,30.2352,59.83,95,10,4.63,clear sky,2022-04-17 00:30:15
153,Norman Wells,CA,65.282,-126.8329,17.64,35,0,4.61,clear sky,2022-04-17 00:29:30
154,Esperance,AU,-33.8667,121.9,60.64,67,92,14.54,overcast clouds,2022-04-17 00:30:18
155,High Level,CA,58.5169,-117.136,28.51,64,100,17.27,light snow,2022-04-17 00:30:19
156,Olinda,BR,-8.0089,-34.8553,83.93,74,40,6.91,scattered clouds,2022-04-17 00:30:19
157,Fortuna,US,40.5982,-124.1573,52.99,62,20,12.66,few clouds,2022-04-17 00:29:24
158,Bicas,BR,-21.7253,-43.0594,58.87,95,0,4.76,clear sky,2022-04-17 00:30:20
159,Mahebourg,MU,-20.4081,57.7,77.25,100,75,11.5,shower rain,2022-04-17 00:30:20
160,Dikson,RU,73.5069,80.5464,6.12,95,100,14.38,overcast clouds,2022-04-17 00:30:21
161,Beisfjord,NO,68.3751,17.5988,43.05,99,100,4.16,overcast clouds,2022-04-17 00:30:21
162,Geraldton,AU,-28.7667,114.6,66.61,77,100,12.66,overcast clouds,2022-04-17 00:30:22
163,Cidreira,BR,-30.1811,-50.2056,65.79,74,99,7.52,overcast clouds,2022-04-17 00:29:52
164,Fairbanks,US,64.8378,-147.7164,35.56,32,0,14.97,clear sky,2022-04-17 00:30:00
165,Pisco,PE,-13.7,-76.2167,65.01,82,0,17.27,clear sky,2022-04-17 00:30:22
166,Ilulissat,GL,69.2167,-51.1,-6.86,93,15,6.11,few clouds,2022-04-17 00:30:22
167,Concepcion Del Uruguay,AR,-32.4825,-58.2372,61.99,77,95,6.08,overcast clouds,2022-04-17 00:30:23
168,Belyy Yar,RU,53.6039,91.3903,33.69,64,52,2.24,broken clouds,2022-04-17 00:30:23
169,Leh,IN,34.1667,77.5833,33.15,46,0,5.35,clear sky,2022-04-17 00:30:23
170,Airai,TL,-8.9266,125.4092,72.14,63,28,2.24,scattered clouds,2022-04-17 00:30:24
171,Cabano,PH,10.5869,122.7002,82.54,74,100,12.93,overcast clouds,2022-04-17 00:30:24
172,Broken Hill,AU,-31.95,141.4333,78.51,25,0,19.57,clear sky,2022-04-17 00:30:25
173,East London,ZA,-33.0153,27.9116,61.63,77,100,6.13,overcast clouds,2022-04-17 00:30:25
174,Drezdenko,PL,52.8383,15.8308,34.45,70,100,3.96,overcast clouds,2022-04-17 00:30:25
175,Salinopolis,BR,-0.6136,-47.3561,78.42,88,100,7.29,overcast clouds,2022-04-17 00:30:26
176,Konevo,RU,62.1215,39.3192,26.13,93,100,3.94,overcast clouds,2022-04-17 00:30:26
177,Mayo,US,38.8876,-76.5119,68.88,85,75,6.91,thunderstorm,2022-04-17 00:30:26
178,Kenai,US,60.5544,-151.2583,45.03,70,100,8.05,overcast clouds,2022-04-17 00:30:27
179,Tilichiki,RU,60.4667,166.1,30.24,89,78,5.73,broken clouds,2022-04-17 00:30:27
180,Ismailia,EG,30.6043,32.2723,68.61,23,2,9.89,clear sky,2022-04-17 00:30:27
181,Dali,CN,25.7,100.1833,63.75,56,0,5.59,clear sky,2022-04-17 00:30:28
182,Taiyuan,CN,37.8694,112.5603,51.66,35,0,4.47,clear sky,2022-04-17 00:30:28
183,Farafangana,MG,-22.8167,47.8333,73.4,85,2,3.42,clear sky,2022-04-17 00:30:28
184,Odienne,CI,9.51,-7.5692,73.42,83,100,5.26,overcast clouds,2022-04-17 00:30:29
185,Biloela,AU,-24.4167,150.5,79.12,35,0,11.97,clear sky,2022-04-17 00:30:29
186,Lavrentiya,RU,65.5833,-171.0,30.45,94,99,10.09,light snow,2022-04-17 00:27:57
187,San Patricio,US,28.017,-97.5169,84.29,79,62,12.01,broken clouds,2022-04-17 00:30:29
188,Zharkent,KZ,44.1628,80.0,60.22,17,0,3.94,clear sky,2022-04-17 00:30:30
189,Miles City,US,46.4083,-105.8406,34.77,60,75,17.27,broken clouds,2022-04-17 00:30:30
190,Santa Cruz Del Sur,CU,20.7147,-77.9956,73.31,85,100,11.79,overcast clouds,2022-04-17 00:30:30
191,Raudeberg,NO,61.9875,5.1352,44.87,70,100,10.29,overcast clouds,2022-04-17 00:30:31
192,Pahrump,US,36.2083,-115.9839,74.84,19,0,7.0,clear sky,2022-04-17 00:30:31
193,Mayumba,GA,-3.432,10.6554,77.07,92,27,4.03,light rain,2022-04-17 00:26:50
194,Liberty,US,31.8335,-81.5004,73.65,41,20,4.61,few clouds,2022-04-17 00:30:32
195,Kousseri,CM,12.0769,15.0306,89.2,41,85,2.48,overcast clouds,2022-04-17 00:30:32
196,Dergachi,RU,51.2328,48.7659,46.54,79,97,8.52,overcast clouds,2022-04-17 00:30:32
197,Bengkulu,ID,-3.8004,102.2655,80.51,76,100,3.04,overcast clouds,2022-04-17 00:30:33
